U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss,PreClosureMssTotal,PreClosureGamma
2,3,Linear Elfouhaily,0.012261562759435,0.00790747288437452,0.0201690356438095,0.803056206599976,0.00847607324228261,0.0116929624015269,NaN,NaN
2,3,Elfouhaily-Constrained Modified Lie,0.0121188770203013,0.00791651592944287,0.0200353929497442,0.808231654806421,0.00846361132310725,0.011571781626637,0.0202670234030451,0.801389530661485
2,4,Linear Elfouhaily,0.0127362899132983,0.00768775028164856,0.0204240401949469,0.776923335117146,0.0085301170189936,0.0118939231759533,NaN,NaN
2,4,Elfouhaily-Constrained Modified Lie,0.0125915903707513,0.00769702829655942,0.0202886186673107,0.78184605323402,0.00852264494964641,0.0117659737176643,0.0205286628364997,0.775227297674716
2,5,Linear Elfouhaily,0.0128175453840761,0.00808527597587137,0.0209028213599474,0.794227631438822,0.00835624751671617,0.0125465738432313,NaN,NaN
2,5,Elfouhaily-Constrained Modified Lie,0.0126569516663031,0.00809360414801362,0.0207505558143167,0.799661926642698,0.00833771935388411,0.0124128364604326,0.0209922654667109,0.792892349945805
2,6,Linear Elfouhaily,0.0125515866070568,0.00796473662084979,0.0205163232279066,0.796592835317084,0.0082530025384408,0.0122633206894658,NaN,NaN
2,6,Elfouhaily-Constrained Modified Lie,0.0124081118926355,0.00797406410586451,0.0203821759985,0.801654086568444,0.00824834361014039,0.0121338323883596,0.0206191801166567,0.794867645145396
2,7,Linear Elfouhaily,0.012506595597551,0.00789672494582636,0.0204033205433774,0.794609864204285,0.00851498814290702,0.0118883324004704,NaN,NaN
2,7,Elfouhaily-Constrained Modified Lie,0.0123620606685613,0.00790937997711248,0.0202714406456738,0.799881743843779,0.00850758471821234,0.0117638559274614,0.0205075238805634,0.793110306273744
2,8,Linear Elfouhaily,0.0132063263530286,0.00798672300364296,0.0211930493566716,0.777666334502759,0.0085654027657484,0.0126276465909232,NaN,NaN
2,8,Elfouhaily-Constrained Modified Lie,0.0130463861163946,0.00799539004536211,0.0210417761617567,0.782843074249014,0.00855081165210667,0.0124909645096501,0.0212905144262058,0.776215878360109
2,9,Linear Elfouhaily,0.0126954393287543,0.00766132618307,0.0203567655118243,0.776833792594742,0.00856311580296916,0.0117936497088551,NaN,NaN
2,9,Elfouhaily-Constrained Modified Lie,0.012520456330333,0.00766932164518364,0.0201897779755166,0.782651455353352,0.0085236266777111,0.0116661512978055,0.0204284846117723,0.776025881623473
2,10,Linear Elfouhaily,0.0127798004977594,0.00803877268555396,0.0208185731833133,0.793108924784751,0.00856177464360464,0.0122567985397087,NaN,NaN
2,10,Elfouhaily-Constrained Modified Lie,0.0126295811323232,0.00804422088892976,0.020673802021253,0.798082008040056,0.00854688232730407,0.0121269196939489,0.0209149514817104,0.79132580622047
2,11,Linear Elfouhaily,0.0126923480430268,0.00817327491990619,0.020865622962933,0.802466788389485,0.00843978284099295,0.0124258401219401,NaN,NaN
2,11,Elfouhaily-Constrained Modified Lie,0.0125540000381665,0.00818527517334539,0.0207392752115119,0.807468481595514,0.00844330990129251,0.0122959653102194,0.0209792040488664,0.800632818130287
2,12,Linear Elfouhaily,0.0124627614848282,0.00771285767802217,0.0201756191628504,0.786684361761338,0.00831637635650097,0.0118592428063494,NaN,NaN
2,12,Elfouhaily-Constrained Modified Lie,0.0123070058759305,0.00771772559322706,0.0200247314691575,0.791896571178984,0.00829224706338549,0.011732484405772,0.0202595793135926,0.785192732474159
2,13,Linear Elfouhaily,0.0127648147364851,0.00802813796284894,0.020792952699334,0.793049244250873,0.00827032743519379,0.0125226252641402,NaN,NaN
2,13,Elfouhaily-Constrained Modified Lie,0.0126105497712983,0.00803397863937657,0.0206445284106749,0.798175377036404,0.00825499876814829,0.0123895296425266,0.0208853166965517,0.791418384797066
2,14,Linear Elfouhaily,0.0126927643637796,0.00793288947184938,0.020625653835629,0.790565017430906,0.0082006011259518,0.0124250527096771,NaN,NaN
2,14,Elfouhaily-Constrained Modified Lie,0.0125253096967061,0.00794237491757255,0.0204676846142787,0.796307773928678,0.00817495335458025,0.0122927312596984,0.0207068014403127,0.789566591973731
2,15,Linear Elfouhaily,0.0127944177570397,0.00806553572172196,0.0208599534787616,0.793974118911822,0.00825235367844592,0.0126075998003157,NaN,NaN
2,15,Elfouhaily-Constrained Modified Lie,0.01262648614402,0.00807289202243338,0.0206993781664533,0.799600981620011,0.00822598638542105,0.0124733917810323,0.020940504571672,0.792831920856154
2,16,Linear Elfouhaily,0.012708217067402,0.00776468412514894,0.0204729011925509,0.781663052474568,0.00845164062714786,0.0120212605654031,NaN,NaN
2,16,Elfouhaily-Constrained Modified Lie,0.0125533399476688,0.00777807415591498,0.0203314141035837,0.7871479972297,0.00844027033688969,0.0118911437666941,0.0205708518965853,0.780484357807196
2,17,Linear Elfouhaily,0.0132319561926109,0.0082108733679582,0.0214428295605691,0.787739548790562,0.00827851333605127,0.0131643162245178,NaN,NaN
2,17,Elfouhaily-Constrained Modified Lie,0.0130596051251239,0.00821940848812099,0.0212790136132448,0.793332524299068,0.00825638225121457,0.0130226313620303,0.0215282578611815,0.786616529463688
2,18,Linear Elfouhaily,0.0126686045530796,0.00781363237064272,0.0204822369237223,0.785347918432095,0.00836766238883687,0.0121145745348854,NaN,NaN
2,18,Elfouhaily-Constrained Modified Lie,0.0125171260252821,0.007824276717951,0.0203414027432331,0.790623626468551,0.00835665215818234,0.0119847505850508,0.0205802305379834,0.783930563938709
2,19,Linear Elfouhaily,0.0125519996758216,0.00814631089358743,0.0206983105694091,0.80560848270389,0.00846737445259611,0.0122309361168129,NaN,NaN
2,19,Elfouhaily-Constrained Modified Lie,0.0123869511537432,0.00814626035405224,0.0205332115077955,0.810955326160843,0.00842915035219113,0.0121040611556043,0.0207700299657382,0.804090144644389
2,20,Linear Elfouhaily,0.0131562585671044,0.0080823081988307,0.0212385667659351,0.783793221836318,0.00859576986934655,0.0126427968965885,NaN,NaN
2,20,Elfouhaily-Constrained Modified Lie,0.0129921396836196,0.00809166500816896,0.0210838046917886,0.789184608911753,0.0085767206341052,0.0125070840576834,0.0213316610471049,0.782503728454602
