group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G0 No-breaking,89,18773667,0.220263581289838,0,0.851973414512683,1.10224418409856,1.54461053220322,180,8.91699275246111,0.0688395816428775,0.0271112995751222,2.53914724567633,0,1,1,
G0 No-breaking,90,848421398,0.212723024861219,0,0.95920622415585,1.00945340336793,1.59425105084128,0,3.64040306469009,0.155018066652084,0.0570539581204721,2.71704315982347,0,1,1,
G0 No-breaking,91,286174382,0.204670844451033,0,0.977542704616559,1.0507124909208,1.55621621149581,0,5.5469395729514,0.085095214348615,0.0373225665033904,2.27999364247593,0,1,1,
G0 No-breaking,92,1481504756,0.21916549993866,0,0.955455416158836,1.03871005907278,1.55134643862105,0,7.29064470287487,0.0893854499516794,0.0363997292477081,2.45566249527275,0,1,1,
G0 No-breaking,93,1471252853,0.210457953364446,0,0.930499018846278,1.10805274761012,1.58361913984936,0,4.0608265710746,0.0574066466200247,0.0321518141896944,1.78548701113187,0,1,1,
G0 No-breaking,94,1415547984,0.191507669227674,0,0.865544548911517,1.04020336421245,1.60616964101249,0,7.6476517722047,0.121258950693202,0.0626811397573335,1.93453646763044,0,1,1,
G0 No-breaking,95,519881199,0.194231816621855,0,0.859560676845919,1.03409575375684,1.62808879357267,0,10.5170785780151,0.0728594528660219,0.0363107966144312,2.00655065873892,0,1,1,
G0 No-breaking,96,1282728096,0.209538557580904,0,0.969451389953719,1.03329243102008,1.59188481366167,0,3.24122917597646,0.0943683397029474,0.0464833507516097,2.03015355341352,0,1,1,
G0 No-breaking,97,1188605770,0.221788878161911,0,0.871206188496738,1.06934761062375,1.62752882377555,0,3.52580749737192,0.0574489746367985,0.0296014303009765,1.9407499587918,0,1,1,
G0 No-breaking,98,1978385959,0.193459109982728,0,0.887189526814986,1.01744726460536,1.55663961345943,180,7.71175983235967,0.0609492215900074,0.0337480856227532,1.80600530268049,0,1,1,
