U10,Series,Kmax,MssTotal
5,cumulative,206.75904978305,0.0267416819120899
5,cumulative,214.502939711102,0.0268549656770078
5,cumulative,222.536866913367,0.0269695255418863
5,cumulative,230.871694356805,0.0270853395046845
5,cumulative,239.518691866602,0.027202376803187
5,cumulative,248.489551364516,0.0273205977139962
5,cumulative,257.796402677952,0.0274399532992809
5,cumulative,267.451829941139,0.0275603850587532
5,cumulative,277.468888610607,0.02768182475361
5,cumulative,287.861123117945,0.0278041942092733
5,cumulative,298.642585183716,0.0279274050769662
5,cumulative,309.827852817314,0.028051358855865
5,cumulative,321.432050028413,0.0281759467246648
5,cumulative,333.470867276704,0.0283010494092308
5,cumulative,345.960582687529,0.0284265371993034
5,cumulative,358.91808406214,0.028552269965021
5,cumulative,372.360891712307,0.0286780971155435
5,cumulative,386.307182150172,0.0288038579796244
5,cumulative,400.775812665383,0.0289293817886809
5,cumulative,415.786346822718,0.0290544878946267
5,cumulative,431.3590809147,0.0291789861049328
5,cumulative,447.515071404955,0.0293026770593306
5,cumulative,464.276163399434,0.0294253525453878
5,cumulative,481.665020183967,0.029546796476306
5,cumulative,499.705153868136,0.0296667852117265
5,cumulative,518.420957176845,0.0297850884356212
5,cumulative,537.83773643263,0.0299014701337041
5,cumulative,557.981745773248,0.0300156897138214
5,cumulative,578.880222650872,0.0301275031113094
5,cumulative,600.561424660838,0.0302366648901906
5,cumulative,623.054667749776,0.0303429294009898
5,cumulative,646.390365854774,0.0304460529413357
5,cumulative,670.600072027177,0.0305457959873649
5,cumulative,695.716521096622,0.0306419256592113
5,cumulative,721.773673932993,0.0307342183539845
5,cumulative,748.806763366166,0.0308224632609264
5,cumulative,776.852341825602,0.0309064650380912
5,cumulative,805.948330764222,0.0309860474293771
5,cumulative,836.134071933397,0.031061056824993
5,cumulative,867.450380578367,0.0311313658284517
5,cumulative,899.939600626025,0.0311968768373042
5,cumulative,933.645661939693,0.0312575258057786
5,cumulative,968.614139718302,0.0313132849252988
5,cumulative,1004.89231612027,0.0313641654660341
5,cumulative,1042.52924419547,0.0314102198220415
5,cumulative,1081.57581421162,0.0314515426834668
5,cumulative,1122.08482246488,0.0314882713975543
5,cumulative,1164.11104266769,0.0315205852189036
5,cumulative,1207.71130001028,0.0315487029032279
5,cumulative,1252.94454799608,0.0315728793738774
5,cumulative,1299.87194815494,0.0315934009381681
5,cumulative,1348.55695274186,0.0316105791982442
5,cumulative,1399.0653905331,0.0316247440588819
5,cumulative,1451.46555583568,0.0316362357596674
5,cumulative,1505.82830083061,0.0316453963673335
5,cumulative,1562.22713137474,0.0316525613893843
5,cumulative,1620.73830639066,0.0316580517460515
5,cumulative,1681.44094097927,0.0316621666047654
5,cumulative,1744.4171133941,0.0316651776135855
5,cumulative,1809.75197602241,0.0316673246499672
5,cumulative,1877.53387052279,0.0316688134508989
5,cumulative,1947.85444727517,0.0316698151443538
5,cumulative,2020.80878930467,0.0316704675076355
5,cumulative,2096.4955408468,0.0316708776840692
5,cumulative,2175.01704072797,0.0316711259825512
5,cumulative,2256.47946074155,0.0316712702573809
5,cumulative,2340.99294920664,0.0316713504639474
5,cumulative,2428.67177990366,0.0316713929763115
5,cumulative,2519.63450658805,0.0316714143792248
5,cumulative,2614.00412329124,0.0316714245725824
5,cumulative,2711.90823062527,0.0316714291452883
5,cumulative,2813.47920831634,0.0316714310683533
5,cumulative,2918.85439420024,0.0316714318227215
5,cumulative,3028.17626992184,0.0316714320972454
5,cumulative,3141.59265358979,0.0316714321893845
10,sweep,100,0.0355922240659726
10,sweep,200,0.0420567791635496
10,sweep,370,0.0494001082138
10,sweep,1000,0.0593171711909409
10,sweep,2000,0.0604652848831354
10,sweep,3141.59265358979,0.06046939717919
10,cumulative,1,0.0123373865595707
10,cumulative,1.0374536927703,0.0125454613736063
10,cumulative,1.07631016464272,0.0127540193028503
10,cumulative,1.1166219548748,0.0129630007185848
10,cumulative,1.15844357051324,0.0131723455215387
10,cumulative,1.20183156009497,0.0133819928748154
10,cumulative,1.24684459010841,0.0135918814343846
10,cumulative,1.29354352431864,0.0138019494248137
10,cumulative,1.34199150606347,0.0140121346039898
10,cumulative,1.39225404363192,0.0142223745183122
10,cumulative,1.44439909884031,0.0144326066363458
10,cumulative,1.49849717892596,0.0146427681449178
10,cumulative,1.55462143188261,0.0148527961455993
10,cumulative,1.61284774536646,0.0150626277297174
10,cumulative,1.67325484930668,0.0152721999164035
10,cumulative,1.73592442235902,0.015481450053821
10,cumulative,1.8009412023465,0.0156903157911723
10,cumulative,1.86839310083656,0.0158987350055012
10,cumulative,1.93837132200943,0.0161066459964564
10,cumulative,2.01097048597872,0.0163139875844
10,cumulative,2.0862887567307,0.0165206990354432
10,cumulative,2.16442797485541,0.0167267206219849
10,cumulative,2.24549379524908,0.0169319934227224
10,cumulative,2.32959582997394,0.0171364593908719
10,cumulative,2.41684779646874,0.017340061540614
10,cumulative,2.50736767131025,0.0175427440635609
10,cumulative,2.60127784973367,0.0177444522356052
10,cumulative,2.69870531112777,0.0179451331302761
10,cumulative,2.79978179072831,0.0181447352332459
10,cumulative,2.90464395774212,0.018343208650734
10,cumulative,3.01343360014249,0.0185405052759409
10,cumulative,3.12629781638591,0.0187365789141379
10,cumulative,3.24338921430927,0.0189313851634404
10,cumulative,3.3648661174765,0.0191248822641148
10,cumulative,3.49089277925364,0.019317030518893
10,cumulative,3.62163960490185,0.0195077926312793
10,cumulative,3.75728338198857,0.0196971338377973
10,cumulative,3.89800751942851,0.0198850220064835
10,cumulative,4.04400229547748,0.0200714275915066
10,cumulative,4.19546511501467,0.0202563243723391
10,cumulative,4.35260077646091,0.0204396888967419
10,cumulative,4.51562174869423,0.0206215008200481
10,cumulative,4.68474845833669,0.0208017430095452
10,cumulative,4.86020958780134,0.0209804015920305
10,cumulative,5.0422423845021,0.0211574660142786
10,cumulative,5.2310929816446,0.0213329295518213
10,cumulative,5.42701673103196,0.0215067888651777
10,cumulative,5.63027854833528,0.0216790442706971
10,cumulative,5.84115327129582,0.021849699810605
10,cumulative,6.05992603134314,0.0220187632363954
10,cumulative,6.28689263913177,0.0221862461506309
10,cumulative,6.52235998451765,0.0223521642755527
10,cumulative,6.76664645151504,0.0225165371074041
10,cumulative,7.02008234879529,0.0226793881027102
10,cumulative,7.28301035630924,0.0228407446996432
10,cumulative,7.55578598863732,0.0230006382281032
10,cumulative,7.83877807569385,0.0231591041057535
