U10,K,LinearSpectrum,ModifiedSpectrum,LinearMssIntegrand,ModifiedMssIntegrand,DressingRatio
5,0.0647854081118097,8.86022259986837e-10,9.93422237330111e-08,3.71876753481719e-12,4.16954125351609e-10,NaN
5,0.0722227686523611,1.05319770463515e-07,4.97804306445748e-07,5.49361436508332e-10,2.59661113659384e-09,NaN
5,0.0805139376881015,3.50376127635236e-06,3.54901409844998e-06,2.27131120191482e-08,2.30064631742121e-08,NaN
5,0.0897569323774681,1.35549329284577e-05,1.26450234940008e-05,1.0920269981359e-07,1.01872190149471e-07,NaN
5,0.100061022242164,0.000300652013123225,0.000298483660227328,3.01019054276478e-06,2.98848054218038e-06,0.99194174547994
5,0.111548020937716,0.00249195876658927,0.00248780453508426,3.10073456842811e-05,3.09556547437825e-05,0.998133587807126
5,0.124353726319195,0.00248311393505432,0.00247992447900748,3.83984995609366e-05,3.83491782934405e-05,0.998335815124067
5,0.138629525826404,0.012174953146138,0.012146543999751,0.000233980020176309,0.000233434049069479,0.999050526768378
5,0.154544186167159,0.0199955525936282,0.0199672990802994,0.000477571888127986,0.000476897083886217,0.998471050873455
5,0.172285848456105,0.0235653896118132,0.0236011102280919,0.000699477640590202,0.000700537914695856,1.00167830518699
5,0.192064252395329,0.033947146356581,0.0339993961933591,0.00125226531865511,0.00125419274600983,1.00142004089427
5,0.214113215790763,0.0513368032663896,0.0513108202835078,0.00235350849495381,0.00235231731889598,0.999237345262129
5,0.238693398716901,0.0679787428340287,0.0680428920732744,0.00387305750696676,0.00387671238027375,1.00087050436279
5,0.266095385007446,0.0781869770724328,0.0781588489903138,0.0055361660454932,0.00553417438730429,0.999770591153271
5,0.296643117500875,0.0636594358669866,0.0635301813188721,0.00560184823687493,0.00559047420641735,0.998100067277045
5,0.330697727651968,0.062783220572282,0.0628971026609994,0.00686603497348043,0.00687848923111264,1.00190728005785
5,0.368661804782485,0.0500737857328589,0.0499912263056553,0.00680560464684638,0.00679438386908423,0.998013060082774
5,0.410984155441536,0.0445078473801485,0.0444601792723625,0.00751773041816563,0.00750967889455862,0.998850781139127
5,0.458165109140205,0.034018809512922,0.0341191183810881,0.00714106748986906,0.00716212385273604,1.00311476519932
